seq,latitude,longitude,x,y,option
1820,37.2889907,127.1074803,332242.269741907,4128610.6946611,0
1823,37.2889922,127.1074753,332241.829817745,4128610.86996681,0
1826,37.2889937,127.1074705,332241.407623835,4128611.04491761,0
1829,37.2889952,127.1074657,332240.985429943,4128611.21986844,0
1832,37.2889967,127.1074609,332240.563236067,4128611.39481928,0
1835,37.2889981,127.107456,332240.131954972,4128611.55885213,0
1838,37.2889997,127.1074513,332239.718848365,4128611.74472104,0
1841,37.2890011,127.1074464,332239.287567303,4128611.90875393,0
1844,37.2890027,127.1074414,332238.84786538,4128612.0951553,0
1847,37.2890043,127.1074364,332238.408163474,4128612.28155669,0
1850,37.2890058,127.1074313,332237.959374352,4128612.45704008,0
1853,37.2890072,127.1074264,332237.528093357,4128612.62107306,0
1856,37.2890088,127.1074215,332237.097256623,4128612.80729705,0
1859,37.2890102,127.1074166,332236.665975661,4128612.97133008,0
1862,37.2890115,127.1074116,332236.225607474,4128613.12444511,0
1865,37.2890126,127.1074066,332235.784795056,4128613.25536918,0
1868,37.2890136,127.1074014,332235.326030296,4128613.37555274,0
1871,37.2890147,127.1073969,332234.929543479,4128613.50558948,0
1874,37.2890157,127.1073925,332234.541699662,4128613.62435328,0
1878,37.2890169,127.1073868,332234.039053615,4128613.76761527,0
1882,37.2890179,127.1073811,332233.535963328,4128613.88868629,0
1886,37.2890191,127.1073753,332233.024452194,4128614.03212581,0
1889,37.28902,127.1073709,332232.636386296,4128614.13979421,0
1892,37.2890211,127.1073664,332232.239899551,4128614.26983109,0
1895,37.2890222,127.1073618,332231.834547702,4128614.40004546,0
1898,37.2890234,127.1073572,332231.429417998,4128614.54135535,0
1901,37.2890244,127.1073524,332231.006113815,4128614.66082923,0
1904,37.2890257,127.1073475,332230.57461092,4128614.81376709,0
1907,37.289027,127.1073425,332230.134242928,4128614.96688245,0
1910,37.2890283,127.1073375,332229.693874951,4128615.11999783,0
1913,37.2890294,127.1073324,332229.244197608,4128615.25109973,0
1916,37.2890308,127.1073276,332228.82178202,4128615.4149557,0
1919,37.2890322,127.1073229,332228.408231564,4128615.5786342,0
1922,37.2890334,127.1073181,332227.985371738,4128615.72029922,0
1925,37.2890347,127.1073134,332227.571599173,4128615.87288227,0
1928,37.2890359,127.1073087,332227.157604485,4128616.01436985,0
1931,37.2890372,127.1073039,332226.734966836,4128616.16713043,0
1934,37.2890383,127.1072991,332226.311884927,4128616.29770005,0
1937,37.2890396,127.1072944,332225.89811242,4128616.45028318,0
1940,37.2890407,127.1072896,332225.475030534,4128616.58085284,0
1943,37.289042,127.1072847,332225.043527828,4128616.73379099,0
1946,37.2890432,127.1072798,332224.611802998,4128616.87563367,0
1949,37.2890445,127.107275,332224.189165432,4128617.02839438,0
1952,37.2890457,127.1072703,332223.775170853,4128617.16988213,0
1955,37.2890472,127.1072656,332223.361842708,4128617.34465638,0
1958,37.2890485,127.1072611,332222.96580052,4128617.49688469,0
1961,37.28905,127.1072564,332222.552472407,4128617.67165898,0
1964,37.2890513,127.1072518,332222.147565139,4128617.82406482,0
1967,37.2890527,127.107247,332221.725149803,4128617.98792115,0
1970,37.2890541,127.1072419,332221.276139149,4128618.15230997,0
1973,37.2890556,127.1072365,332220.800755326,4128618.32832677,0
1976,37.2890573,127.1072305,332220.272625148,4128618.52759953,0
1978,37.2890586,127.1072261,332219.885448176,4128618.6796505,0
1980,37.2890597,127.1072217,332219.497826925,4128618.80951051,0
1982,37.289061,127.1072172,332219.101784868,4128618.96173901,0
1984,37.2890622,127.1072126,332218.696655568,4128619.10304953,0
1986,37.2890633,127.107208,332218.291304135,4128619.23326457,0
1989,37.289065,127.1072019,332217.754308955,4128619.43271498,0
1992,37.2890664,127.1071963,332217.260972902,4128619.59799148,0
1995,37.2890679,127.1071909,332216.785589233,4128619.77400852,0
1998,37.2890692,127.1071861,332216.362951938,4128619.92676964,0
2001,37.2890706,127.1071812,332215.9316717,4128620.09080376,0
2004,37.2890721,127.1071764,332215.509478738,4128620.2657559,0
2007,37.2890734,127.1071718,332215.104571705,4128620.41816209,0
2010,37.289075,127.1071671,332214.691466035,4128620.60403227,0
2013,37.2890764,127.1071625,332214.286781185,4128620.767534,0
2016,37.2890778,127.1071577,332213.864366134,4128620.93139073,0
2019,37.2890791,127.1071529,332213.441728945,4128621.084152,0
2022,37.2890805,127.1071481,332213.019313924,4128621.24800878,0
2025,37.289082,127.1071432,332212.588255967,4128621.42313857,0
2028,37.2890834,127.1071382,332212.148110764,4128621.58735039,0
2031,37.2890849,127.1071331,332211.699322624,4128621.76283523,0
2034,37.2890864,127.1071281,332211.25939961,4128621.93814259,0
2037,37.2890879,127.1071233,332210.837206829,4128622.11309498,0
2040,37.2890895,127.1071183,332210.397506008,4128622.29949788,0
2043,37.2890909,127.1071134,332209.966225993,4128622.46353232,0
2046,37.2890924,127.1071085,332209.535168155,4128622.63866227,0
2049,37.2890939,127.1071036,332209.104110335,4128622.81379225,0
2052,37.2890953,127.1070988,332208.681695476,4128622.97764925,0
2055,37.2890969,127.107094,332208.259724956,4128623.16369727,0
2058,37.2890984,127.1070892,332207.837532292,4128623.33864981,0
2061,37.2890998,127.1070843,332207.406252377,4128623.50268438,0
2064,37.2891013,127.1070795,332206.984059746,4128623.67763697,0
2067,37.2891027,127.1070747,332206.561644968,4128623.84149408,0
2070,37.2891042,127.1070699,332206.13945237,4128624.01644671,0
2073,37.2891056,127.1070651,332205.717037624,4128624.18030387,0
2076,37.289107,127.1070603,332205.294622893,4128624.34416105,0
2079,37.2891083,127.1070555,332204.871986012,4128624.49692276,0
2082,37.2891097,127.1070507,332204.44957131,4128624.66077998,0
2085,37.289111,127.1070459,332204.026934459,4128624.81354174,0
2088,37.2891123,127.1070409,332203.586567416,4128624.96665853,0
2091,37.2891134,127.1070361,332203.163486256,4128625.09722934,0
2094,37.2891143,127.1070312,332202.731095669,4128625.2057867,0
2097,37.2891153,127.1070263,332202.298927261,4128625.32543957,0
2100,37.2891162,127.1070215,332201.875401798,4128625.43381946,0
2103,37.2891171,127.1070166,332201.443011241,4128625.54237689,0
2106,37.2891179,127.1070115,332200.992668317,4128625.64019386,0
2109,37.2891184,127.1070066,332200.559389092,4128625.70436937,0
2112,37.2891186,127.1070019,332200.143173567,4128625.73490339,0
2115,37.2891183,127.1069971,332199.716982075,4128625.71013747,0
2118,37.289118,127.1069923,332199.290790578,4128625.68537158,0
2121,37.2891173,127.1069875,332198.863710384,4128625.61622375,0
2124,37.2891165,127.1069826,332198.427542903,4128625.53615795,0
2127,37.2891155,127.1069778,332197.999796167,4128625.43372367,0
2130,37.2891145,127.1069732,332197.589779627,4128625.33093439,0
2133,37.2891132,127.1069686,332197.179096549,4128625.19485865,0
2136,37.2891121,127.106964,332196.768857809,4128625.08097391,0
2139,37.2891108,127.1069592,332196.340444494,4128624.94525324,0
2142,37.2891094,127.1069545,332195.920674093,4128624.79825958,0
2145,37.2891078,127.1069496,332195.482729107,4128624.62942999,0
2148,37.2891057,127.106945,332195.070268525,4128624.40459041,0
2151,37.2891035,127.1069404,332194.657585744,4128624.16865535,0
2154,37.2891009,127.106936,332194.261744428,4128623.88798331,0
