seq,latitude,longitude,x,y,option
8995,35.9124482,128.8067357,482562.305001651,3974255.00015511,0
8998,35.9124458,128.8067314,482561.916497594,3974254.73473106,0
9001,35.9124435,128.806727,482561.518992728,3974254.4804162,0
9004,35.9124413,128.8067225,482561.112487056,3974254.23721054,0
9007,35.9124389,128.8067179,482560.696914737,3974253.9718401,0
9010,35.9124366,128.8067135,482560.299409801,3974253.7175253,0
9013,35.9124345,128.8067091,482559.901948739,3974253.48539315,0
9016,35.9124322,128.8067047,482559.504443756,3974253.23107838,0
9019,35.9124298,128.8067004,482559.115939536,3974252.96565446,0
9022,35.9124277,128.806696,482558.718478408,3974252.73352237,0
9025,35.9124253,128.8066917,482558.329974143,3974252.46809848,0
9028,35.9124231,128.8066872,482557.92346829,3974252.22489296,0
9031,35.9124209,128.8066827,482557.51696241,3974251.98168746,0
9034,35.9124186,128.8066783,482557.119457294,3974251.7273728,0
9037,35.9124163,128.8066739,482556.721952154,3974251.47305815,0
9040,35.9124142,128.8066696,482556.333513629,3974251.24090831,0
9043,35.9124119,128.8066651,482555.92698571,3974250.98661156,0
9046,35.9124097,128.8066608,482555.538525191,3974250.74337044,0
9049,35.9124074,128.8066565,482555.150042694,3974250.48903801,0
9052,35.912405,128.8066523,482554.770560956,3974250.22359642,0
9055,35.9124029,128.806648,482554.382122325,3974249.99144666,0
9058,35.9124009,128.8066438,482554.002728361,3974249.77037038,0
9061,35.9123987,128.8066393,482553.596222263,3974249.52716506,0
9064,35.9123967,128.806635,482553.207805524,3974249.30610667,0
9067,35.9123946,128.8066309,482552.83741228,3974249.07392126,0
9070,35.9123924,128.8066266,482552.448951588,3974248.83068027,0
9073,35.9123901,128.8066224,482552.069491654,3974248.57633012,0
9076,35.912388,128.8066182,482551.690075618,3974248.34416262,0
9079,35.9123858,128.806614,482551.310637599,3974248.10090381,0
9082,35.9123835,128.8066097,482550.922154863,3974247.84657157,0
9085,35.9123811,128.8066054,482550.533650149,3974247.58114803,0
9088,35.9123793,128.806601,482550.136254427,3974247.38229028,0
9091,35.9123769,128.8065968,482549.756772404,3974247.1168489,0
9094,35.9123747,128.8065925,482549.368311543,3974246.87360805,0
9097,35.9123728,128.8065882,482548.979916541,3974246.66364117,0
9100,35.9123705,128.8065838,482548.582410938,3974246.40932689,0
9103,35.9123682,128.8065797,482548.211973527,3974246.15495904,0
9106,35.9123659,128.8065754,482547.823490616,3974245.90062693,0
9109,35.9123637,128.8065713,482547.453075126,3974245.65735043,0
9112,35.9123616,128.806567,482547.0646361,3974245.425201,0
9115,35.9123592,128.8065629,482546.69417664,3974245.15974189,0
9118,35.9123569,128.8065586,482546.305693641,3974244.90540985,0
9121,35.9123547,128.8065541,482545.899187106,3974244.66220488,0
9124,35.9123524,128.8065499,482545.519726803,3974244.40785501,0
9127,35.9123501,128.8065455,482545.122220996,3974244.15354089,0
9130,35.9123477,128.8065411,482544.724693202,3974243.88813547,0
9133,35.9123453,128.8065372,482544.372279092,3974243.62264072,0
9136,35.912343,128.8065331,482544.001841442,3974243.36827305,0
9139,35.9123409,128.8065289,482543.622424963,3974243.13610589,0
9142,35.9123388,128.8065247,482543.243008464,3974242.90393876,0
9145,35.9123367,128.8065206,482542.87261469,3974242.67175377,0
9148,35.9123345,128.8065165,482542.502198925,3974242.42847747,0
9151,35.9123323,128.8065122,482542.113737657,3974242.18523694,0
9154,35.9123301,128.8065079,482541.725276364,3974241.94199642,0
